player_name,game_time,prop_type,prop_line,odds_over,odds_under
Darius Garland,"Tuesday, January 10, 2023, 19:10",3 Point FG,1.5,1.469,2.520
Darius Garland,"Tuesday, January 10, 2023, 19:10",Assists,7.5,2.000,1.757
Darius Garland,"Tuesday, January 10, 2023, 19:10",Double+Double,0.5,4.180,1.171
Darius Garland,"Tuesday, January 10, 2023, 19:10",Points,20.5,1.970,1.781
Darius Garland,"Tuesday, January 10, 2023, 19:10",Pts+Rebs+Asts,30.5,1.900,1.840
Darius Garland,"Tuesday, January 10, 2023, 19:10",Rebounds,2.5,1.729,2.030
Darius Garland,"Tuesday, January 10, 2023, 19:10",Steals+Blocks,1.5,2.480,1.485
Darius Garland,"Tuesday, January 10, 2023, 19:10",Turnovers,2.5,1.606,2.230
Donovan Mitchell,"Tuesday, January 10, 2023, 19:10",3 Point FG,2.5,1.529,2.380
Donovan Mitchell,"Tuesday, January 10, 2023, 19:10",Assists,4.5,1.917,1.819
Donovan Mitchell,"Tuesday, January 10, 2023, 19:10",Blocks,0.5,3.360,1.266
Donovan Mitchell,"Tuesday, January 10, 2023, 19:10",Points,27.5,1.671,2.120
Donovan Mitchell,"Tuesday, January 10, 2023, 19:10",Pts+Rebs+Asts,36.5,1.925,1.813
Donovan Mitchell,"Tuesday, January 10, 2023, 19:10",Rebounds,3.5,1.775,1.970
Donovan Mitchell,"Tuesday, January 10, 2023, 19:10",Steals+Blocks,1.5,1.925,1.813
Donovan Mitchell,"Tuesday, January 10, 2023, 19:10",Turnovers,2.5,1.591,2.250
Evan Mobley,"Tuesday, January 10, 2023, 19:10",3 Point FG,0.5,4.310,1.161
Evan Mobley,"Tuesday, January 10, 2023, 19:10",Assists,2.5,1.884,1.854
Evan Mobley,"Tuesday, January 10, 2023, 19:10",Blocks,1.5,2.480,1.485
Evan Mobley,"Tuesday, January 10, 2023, 19:10",Double+Double,0.5,2.680,1.416
Evan Mobley,"Tuesday, January 10, 2023, 19:10",Points,13.5,1.746,2.010
Evan Mobley,"Tuesday, January 10, 2023, 19:10",Pts+Rebs+Asts,25.5,1.877,1.862
Evan Mobley,"Tuesday, January 10, 2023, 19:10",Rebounds,8.5,1.793,1.952
Evan Mobley,"Tuesday, January 10, 2023, 19:10",Steals+Blocks,1.5,1.507,2.430
Evan Mobley,"Tuesday, January 10, 2023, 19:10",Turnovers,1.5,1.641,2.170
Jarred Vanderbilt,"Tuesday, January 10, 2023, 19:10",3 Point FG,0.5,3.360,1.266
Jarred Vanderbilt,"Tuesday, January 10, 2023, 19:10",Assists,2.5,1.952,1.793
Jarred Vanderbilt,"Tuesday, January 10, 2023, 19:10",Blocks,0.5,3.080,1.318
Jarred Vanderbilt,"Tuesday, January 10, 2023, 19:10",Points,8.5,1.800,1.943
