league,name,position,team,description,line_score,stat_type,flash_sale_line_score,is_promo,start_time,updated_at
NBA1H,Joel Embiid,C-F,PHI,NYK 1st Half,15.5,Points,,False,2022-12-25T12:10:00-05:00,2022-12-24T00:43:14-05:00
NBA,Joel Embiid,C-F,PHI,NYK,33.5,Pts+Asts,,False,2022-12-25T12:10:00-05:00,2022-12-24T04:02:04-05:00
NBA,Joel Embiid,C-F,PHI,NYK,40.5,Pts+Rebs,,False,2022-12-25T12:10:00-05:00,2022-12-24T03:57:02-05:00
NBA,Joel Embiid,C-F,PHI,NYK,30.5,Points,,False,2022-12-25T12:10:00-05:00,2022-12-24T04:49:35-05:00
NBA,Joel Embiid,C-F,PHI,NYK,51.5,Fantasy Score,,False,2022-12-25T12:10:00-05:00,2022-12-24T14:42:11-05:00
NBA,Joel Embiid,C-F,PHI,NYK,13.5,Rebs+Asts,,False,2022-12-25T12:10:00-05:00,2022-12-24T04:06:30-05:00
NBA1H,Joel Embiid,C-F,PHI,NYK 1st Half,25.5,Fantasy Score,,False,2022-12-25T12:10:00-05:00,2022-12-24T14:46:39-05:00
NBA,Joel Embiid,C-F,PHI,NYK,44.5,Pts+Rebs+Asts,,False,2022-12-25T12:10:00-05:00,2022-12-24T03:51:52-05:00
NBA1H,Joel Embiid,C-F,PHI,NYK 1st Half,22.5,Pts+Rebs+Asts,,False,2022-12-25T12:10:00-05:00,2022-12-24T03:51:02-05:00
NBA,Joel Embiid,C-F,PHI,NYK,3.5,Assists,,False,2022-12-25T12:10:00-05:00,2022-12-24T03:44:50-05:00
NBA,Joel Embiid,C-F,PHI,NYK,10,Rebounds,,False,2022-12-25T12:10:00-05:00,2022-12-24T03:41:58-05:00
NBA,Nikola Jokic,C,DEN,PHX,25.5,Points,0.5,True,2022-12-25T22:30:00-05:00,2022-12-24T00:09:47-05:00
NBA,Julius Randle,F-C,NYK,PHI,36.5,Pts+Rebs+Asts,,False,2022-12-25T12:10:00-05:00,2022-12-24T03:52:53-05:00
